"index","timeBlock","Jan","Feb","Mar","Apr","May","Jun","July","Aug","Sep","Oct","Nov","Dcb"
"0","0","-0.058491453528404236","-0.058491453528404236","-0.058491453528404236","-0.05836533010005951","-0.06010331213474274","-0.06114892661571503","-0.06054450571537018","-0.06017850339412689","-0.058491453528404236","-0.058491453528404236","-0.062419116497039795","-0.058491453528404236"
"1","1","-0.03730839490890503","-0.03930777311325073","-0.03730839490890503","-0.03726083040237427","-0.038475602865219116","-0.039454877376556396","-0.04028114676475525","-0.038514137268066406","-0.03730839490890503","-0.03730839490890503","-0.03677630424499512","-0.03730839490890503"
"2","2","-0.023274719715118408","-0.023513734340667725","-0.023274719715118408","-0.025558799505233765","-0.02418917417526245","-0.025525778532028198","-0.02392202615737915","-0.024212688207626343","-0.023274719715118408","-0.023274719715118408","-0.022439152002334595","-0.023274719715118408"
"3","3","-0.013851702213287354","-0.013121843338012695","-0.015417009592056274","-0.01411581039428711","-0.014623194932937622","-0.014146775007247925","-0.014006257057189941","-0.014640480279922485","-0.013851702213287354","-0.013851702213287354","-0.014944791793823242","-0.013851702213287354"
"4","4","-0.0077273547649383545","-0.007251113653182983","-0.008982628583908081","-0.006895005702972412","-0.008237987756729126","-0.007337808609008789","-0.007834166288375854","-0.009265720844268799","-0.009062349796295166","-0.0077273547649383545","-0.007619738578796387","-0.0077273547649383545"
"5","5","-0.003627389669418335","-0.0032963454723358154","-0.0027185678482055664","-0.003026992082595825","-0.004027813673019409","-0.0033812522888183594","-0.003708869218826294","-0.005806595087051392","-0.005368024110794067","-0.0045767128467559814","-0.004705071449279785","-0.0042306482791900635"
"6","6","-0.0008182823657989502","-0.0005922615528106689","-0.00020202994346618652","-0.0016778409481048584","-0.0010987520217895508","-0.0006410479545593262","-0.003024071455001831","-0.00017002224922180176","0.00017565488815307617","-0.0027708113193511963","-0.0004975199699401855","-0.002758890390396118"
"7","7","-0.0011526644229888916","0.0007114708423614502","0.0015238821506500244","-0.0008566081523895264","0.0009508728981018066","0.0012717843055725098","0.0003840923309326172","0.001573324203491211","0.0017827749252319336","0.002052813768386841","0.0025147199630737305","0.0015926957130432129"
"8","8","0.0019275844097137451","0.0002104640007019043","0.0002352595329284668","0.003699362277984619","0.0010984241962432861","0.0024733245372772217","0.0032981038093566895","0.002682209014892578","0.0028252601623535156","0.0030044913291931152","0.003312140703201294","0.0030389726161956787"
"9","9","0.004108041524887085","0.0036701858043670654","0.003127485513687134","0.004113644361495972","0.00087738037109375","0.0032800137996673584","0.003820657730102539","0.0025773048400878906","0.0011811256408691406","0.0036547183990478516","0.0038625597953796387","0.003677278757095337"
"10","10","0.004383057355880737","0.004634559154510498","0.004807204008102417","0.004379183053970337","0.004918813705444336","0.0025471746921539307","0.004211753606796265","0.0018832683563232422","0.00327455997467041","0.003197401762008667","0.004217684268951416","0.0030926167964935303"
"11","11","0.004594594240188599","0.004763901233673096","0.004880070686340332","0.004565119743347168","0.004953891038894653","0.002123624086380005","0.004471480846405029","0.005061805248260498","0.005345851182937622","0.0022876858711242676","0.004483640193939209","0.00244981050491333"
"12","12","0.004751801490783691","0.004869431257247925","0.004206597805023193","0.002074122428894043","0.005002737045288086","0.005625337362289429","0.004667520523071289","0.005242794752120972","0.005273997783660889","0.005442142486572266","0.002599775791168213","0.00562170147895813"
"13","13","0.004390835762023926","0.0029984712600708008","0.002808123826980591","0.004573345184326172","0.005007445812225342","0.005434483289718628","0.004770904779434204","0.005173742771148682","0.00526195764541626","0.005559444427490234","0.003955185413360596","0.0054937005043029785"
"14","14","0.002837270498275757","0.0039101243019104","0.005715429782867432","0.0059517621994018555","0.0049905478954315186","0.005285501480102539","0.004860401153564453","0.0051208436489105225","0.004965841770172119","0.00535738468170166","0.005952119827270508","0.005313962697982788"
"15","15","0.0052557289600372314","0.005962252616882324","0.005702316761016846","0.0005626976490020752","0.0039038658142089844","0.005053788423538208","0.0033708810806274414","0.0029892027378082275","0.002516329288482666","0.005104243755340576","0.00548940896987915","0.002963244915008545"
"16","16","0.005528151988983154","0.00547066330909729","0.005306512117385864","0.00537484884262085","0.002403467893600464","0.004893630743026733","0.002895653247833252","0.004022955894470215","0.004864811897277832","0.004928857088088989","0.005172371864318848","0.004343748092651367"
"17","17","0.005242526531219482","0.005205303430557251","0.0049114227294921875","0.004117131233215332","0.005797922611236572","0.004820436239242554","0.005911290645599365","0.00580325722694397","0.005758911371231079","0.002889305353164673","0.005011945962905884","0.005820572376251221"
"18","18","0.0042091310024261475","0.0031959712505340576","0.002477109432220459","0.006993740797042847","0.005742460489273071","0.004816710948944092","0.005493879318237305","0.005428224802017212","0.005412101745605469","0.0037227272987365723","0.004745900630950928","0.005451560020446777"
"19","19","0.0028038620948791504","0.0035414397716522217","0.00497281551361084","0.006192922592163086","0.005539417266845703","0.003893524408340454","0.005236208438873291","0.005188047885894775","0.005179107189178467","0.005947023630142212","0.0023241639137268066","0.003967911005020142"
