"timeBlock","Jan","Feb","Mar","Apr","May","Jun","July","Aug","Sep","Oct","Nov","Dcb"
"0","25","25","25","25","25","25","25","25","25","25","25","25"
"1","25","25","25","25","25","25","25","25","25","25","25","25"
"2","25","25","25","25","25","25","25","25","25","25","25","25"
"3","25","25","25","25","25","25","25","25","25","25","25","25"
"4","25","25","25","25","25","26.999999999999996","25","25","25","25","25","25"
"5","25","25","25","25","25","26.999999999999996","25","25","25","25","25","25"
"6","25","25","25","25","25","26.999999999999996","25","25","25","25","25","25"
"7","25","25","25","25","25","26.999999999999996","25","25","25","25","25","25"
"8","25","25","25","25","25","26.999999999999996","25","25","25","25","25","25"
"9","25","25","25","25","25","26.999999999999996","25","25","25","25","25","25"
"10","25","25","25","25","25","26.999999999999996","25","25","25","25","25","25"
"11","25","25","25","25","25","26.999999999999996","25","25","25","25","25","25"
"12","25","25","25","25","25","26.999999999999996","25","25","25","25","25","25"
"13","25","25","25","25","25","26.999999999999996","25","25","25","25","25","25"
"14","25","25","25","25","25","26.999999999999996","25","25","25","25","25","25"
"15","25","25","25","25","25","26.999999999999996","25","25","25","25","25","25"
"16","25","25","25","25","25","26.999999999999996","25","25","25","25","25","25"
"17","25","25","25","25","25","26.999999999999996","25","25","25","25","25","25"
"18","25","25","25","25","25","26.999999999999996","25","25","25","25","25","25"
"19","25","25","25","25","25","26.999999999999996","25","25","25","25","25","25"
"20","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","25","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996"
"21","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","25","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996"
"22","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","25","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996"
"23","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","25","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996"
"24","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","25","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996"
"25","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","25","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996"
"26","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","25","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996"
"27","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","25","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996"
"28","26.999999999999996","26.999999999999996","25","25","25","26.999999999999996","25","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996"
"29","26.999999999999996","26.999999999999996","25","25","25","26.999999999999996","25","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996"
"30","26.999999999999996","26.999999999999996","25","25","25","26.999999999999996","25","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996"
"31","26.999999999999996","26.999999999999996","25","25","25","26.999999999999996","25","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996","26.999999999999996"
"32","23.000000000000004","23.000000000000004","25","25","25","23.000000000000004","25","23.000000000000004","23.000000000000004","26.999999999999996","26.999999999999996","23.000000000000004"
"33","23.000000000000004","23.000000000000004","25","25","25","23.000000000000004","25","23.000000000000004","23.000000000000004","26.999999999999996","26.999999999999996","23.000000000000004"
"34","23.000000000000004","23.000000000000004","25","25","25","23.000000000000004","25","23.000000000000004","23.000000000000004","26.999999999999996","26.999999999999996","23.000000000000004"
"35","23.000000000000004","23.000000000000004","25","25","25","23.000000000000004","25","23.000000000000004","23.000000000000004","26.999999999999996","26.999999999999996","23.000000000000004"
"36","23.000000000000004","23.000000000000004","25","25","25","23.000000000000004","25","23.000000000000004","23.000000000000004","26.999999999999996","26.999999999999996","23.000000000000004"
"37","23.000000000000004","23.000000000000004","25","25","25","23.000000000000004","25","23.000000000000004","23.000000000000004","26.999999999999996","26.999999999999996","23.000000000000004"
"38","23.000000000000004","23.000000000000004","25","25","25","23.000000000000004","25","23.000000000000004","23.000000000000004","26.999999999999996","26.999999999999996","23.000000000000004"
"39","23.000000000000004","23.000000000000004","25","25","25","23.000000000000004","25","23.000000000000004","23.000000000000004","26.999999999999996","26.999999999999996","23.000000000000004"
"40","23.000000000000004","23.000000000000004","25","25","25","23.000000000000004","25","23.000000000000004","23.000000000000004","26.999999999999996","26.999999999999996","23.000000000000004"
"41","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","25","23.000000000000004","23.000000000000004","26.999999999999996","26.999999999999996","23.000000000000004"
"42","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","25","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004"
"43","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","25","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004"
"44","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","25","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004"
"45","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","25","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004"
"46","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","25","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004"
"47","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","25","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004","23.000000000000004"
