"timeBlock","Jan","Feb","Mar","Apr","May","Jun","July","Aug","Sep","Oct","Nov","Dcb"
"0","0.006712837913287572","0","0","0","0.011755482444993437","0.007205075865416724","0.00900649715694873","0.0003683847130895257","0","0","0","0"
"1","0.010136236463208598","0","0.000004226380596868693","0","0.010951484084050502","0.007777583988708581","0.007960500191754446","0.0010372438394138297","0","0","0","0"
"2","0.01135051034969052","0","0.00008083163631502737","0","0.010724435883179355","0.007688783316321305","0.009105057307578067","0.0019263260764069842","0","0","0","0"
"3","0.01142869726059891","0","0.00004776480581648105","0","0.010864571399010215","0.008081432358748412","0.008211553914778496","0.002664450237866907","0","0","0","0"
"4","0.00933624066463444","0","0.000009834349943836362","0","0.01022012846407949","0.008572920027360667","0.0072371743868995695","0.004992016909970874","0","0","0","0"
"5","0.01364046364874594","0","0.0000020248054433514175","0","0.01187795170926838","0.006754750902172753","0.007444712264872802","0.00783823959671802","0","0","0","0.00008511271405135492"
"6","0.01319923655907411","0","0.00000041688948500303117","0","0.01248407698063113","0.004338513177886861","0.00669459418791144","0.007502326384929802","0","0","0","0.00009050822498671748"
"7","0.004493557397572464","0","0.00000008583384802562929","0","0.012016035258271695","0.004647312061148099","0.007726398294092957","0.007344547449183474","0.00004262826523277912","0","0","0.00007806950150336908"
"8","0.001306033650627463","0","0.000000017672428142036872","0","0.010420886849805074","0.005019794542241953","0.0081053715044895","0.005701925827205184","0.0008963817575319197","0","0","0.0001269648281682424"
"9","0.0004454084967783809","0","0.0000000036385962370253068","0","0.009645790040224653","0.005952859772642075","0.007862624370558947","0.00439138865115417","0.0002951196015376331","0","0","0.000033604354392645715"
"10","0.00011627096947230267","0","0.0000000007491546984764707","0","0.008683318960672724","0.00948334753223264","0.007628378499980216","0.004762925940031647","0.000060762508863905025","0","0","0.000006918838569211618"
"11","0.0006027452209721857","0","0.000000000154244308983346","0","0.00626753536486747","0.010704039842623962","0.007372560501765891","0.0054896355749372025","0.000012510461738900555","0","0","0.0000014245275057951016"
"12","0.0008893979243828946","0","0.00000000003175753539573796","0","0.005842505187026733","0.011568541321137313","0.006616968620903973","0.0058186186140186105","0.0000025757931304490272","0","0","0.0000002932975808681202"
"13","0.0009039995297777271","0","0.0000000000065385949151643765","0","0.003977043885225544","0.011222836772869825","0.0068533777531587705","0.0046618375436707675","0.0000005303329636697705","0","0","0.000025162440677962367"
