"index","timeBlock","Jan","Feb","Mar","Apr","May","Jun","July","Aug","Sep","Oct","Nov","Dcb"
"0","0","-0.003579646348953247","-0.003579646348953247","-0.003579646348953247","-0.0034515857696533203","-0.007029235363006592","-0.010858505964279175","-0.00839012861251831","-0.007109224796295166","-0.003579646348953247","-0.003579646348953247","-0.01833343505859375","-0.003579646348953247"
"1","1","0.00038486719131469727","-0.005885064601898193","0.00038486719131469727","0.00044995546340942383","-0.0015609562397003174","-0.004163980484008789","-0.007096320390701294","-0.0016092360019683838","0.00038486719131469727","0.00038486719131469727","0.004171490669250488","0.00038486719131469727"
"2","2","0.0026642680168151855","0.002596616744995117","0.0026642680168151855","-0.004217982292175293","0.0015578866004943848","-0.001941978931427002","0.003096282482147217","0.0015303194522857666","0.0026642680168151855","0.0026642680168151855","0.006330430507659912","0.0026642680168151855"
"3","3","0.00395435094833374","0.006636470556259155","-0.0005613267421722412","0.00393909215927124","0.0033620893955230713","0.005744069814682007","0.005562901496887207","0.0033402442932128906","0.00395435094833374","0.00395435094833374","0.0014530420303344727","0.00395435094833374"
"4","4","0.004696696996688843","0.006247431039810181","0.0016406774520874023","0.007661581039428711","0.004382401704788208","0.007561475038528442","0.0056781768798828125","0.0014285445213317871","0.0009118914604187012","0.004696696996688843","0.005859583616256714","0.004696696996688843"
"5","5","0.005124270915985107","0.006027251482009888","0.008351683616638184","0.006865769624710083","0.004911601543426514","0.006777524948120117","0.005716085433959961","0.000264972448348999","0.0005141198635101318","0.002425253391265869","0.002523958683013916","0.003425002098083496"
"6","6","0.005349963903427124","0.005875825881958008","0.0072262585163116455","0.002790093421936035","0.005190074443817139","0.006293118000030518","-0.0001589655876159668","0.008495837450027466","0.008971035480499268","0.00006407499313354492","0.007042437791824341","-0.00004082918167114258"
"7","7","-0.0007477700710296631","0.004330664873123169","0.006551146507263184","0.00036334991455078125","0.00542759895324707","0.00607377290725708","0.004600584506988525","0.007320135831832886","0.007585644721984863","0.00901097059249878","0.009690642356872559","0.007732689380645752"
"8","8","0.005279421806335449","-0.00032952427864074707","-0.00045490264892578125","0.01011347770690918","0.0025388002395629883","0.006014466285705566","0.008818268775939941","0.006730586290359497","0.006807923316955566","0.007623344659805298","0.008027642965316772","0.007799804210662842"
"9","9","0.008607566356658936","0.007725447416305542","0.006179153919219971","0.008078575134277344","-0.0001335740089416504","0.005861729383468628","0.0075147151947021484","0.004085063934326172","-0.0002910494804382324","0.006686985492706299","0.006910741329193115","0.0067840516567230225"
"10","10","0.007049351930618286","0.008054882287979126","0.008653014898300171","0.006750613451004028","0.009744644165039062","0.002146780490875244","0.0065000951290130615","0.0005792081356048584","0.0048452019691467285","0.0035957694053649902","0.006113290786743164","0.0033192038536071777"
"11","11","0.006157100200653076","0.006672680377960205","0.006979703903198242","0.005974411964416504","0.007582485675811768","0.00016242265701293945","0.005845606327056885","0.008603453636169434","0.00905194878578186","-0.00001099705696105957","0.005677759647369385","0.0005297958850860596"
"12","12","0.005696594715118408","0.005968302488327026","0.0041615962982177734","-0.0020415782928466797","0.006422609090805054","0.009374678134918213","0.005523741245269775","0.007360547780990601","0.007190078496932983","0.008762061595916748","-0.00042873620986938477","0.009173691272735596"
"13","13","0.003923952579498291","-0.00003013014793395996","-0.0004316270351409912","0.00568002462387085","0.0057437121868133545","0.007304668426513672","0.005251467227935791","0.006247341632843018","0.006096065044403076","0.007426798343658447","0.0036320090293884277","0.0071517229080200195"
"14","14","-0.0008252859115600586","0.0027734041213989258","0.008028984069824219","0.008484959602355957","0.005251199007034302","0.006083667278289795","0.005022883415222168","0.005531400442123413","0.00490880012512207","0.0061089396476745605","0.008572369813919067","0.005968987941741943"
"15","15","0.0069460272789001465","0.008659452199935913","0.0073306262493133545","-0.007993310689926147","0.002299398183822632","0.005375027656555176","0.000918269157409668","-0.00040599703788757324","-0.0020370185375213623","0.005349904298782349","0.006617426872253418","-0.0007932782173156738"
"16","16","0.0071623921394348145","0.006636321544647217","0.005952328443527222","0.008387565612792969","-0.001375734806060791","0.004958629608154297","0.0002764761447906494","0.0034135282039642334","0.00591045618057251","0.004941195249557495","0.005588352680206299","0.0041908323764801025"
"17","17","0.0057447850704193115","0.0054742395877838135","0.004638850688934326","0.003758370876312256","0.008470803499221802","0.004701375961303711","0.008717060089111328","0.008074522018432617","0.007737874984741211","-0.0007002949714660645","0.004935950040817261","0.00800389051437378"
"18","18","0.002698540687561035","-0.00007656216621398926","-0.0019102990627288818","0.011148899793624878","0.007020711898803711","0.0044776201248168945","0.006490260362625122","0.006166785955429077","0.0059781670570373535","0.0022861063480377197","0.004100024700164795","0.006111353635787964"
"19","19","-0.0006801784038543701","0.0015926361083984375","0.00561755895614624","0.007645547389984131","0.005797982215881348","0.002009749412536621","0.005310088396072388","0.005129456520080566","0.005095779895782471","0.008123219013214111","-0.0021634697914123535","0.00193709135055542"
"20","20","0.00773206353187561","0.008308738470077515","0.00727158784866333","0.005933105945587158","0.005174815654754639","-0.0014996528625488281","0.00461125373840332","0.004486024379730225","0.004611402750015259","0.006066739559173584","0.005401939153671265","-0.00034612417221069336"
"21","21","0.006202578544616699","0.006030082702636719","0.005514979362487793","-0.0017150640487670898","-0.0003520846366882324","0.007921993732452393","-0.002569526433944702","-0.0022198855876922607","0.0041856467723846436","0.004912763833999634","0.007022082805633545","0.008367031812667847"
"22","22","0.004934877157211304","0.00484699010848999","0.004584610462188721","0.0035144686698913574","0.0016579031944274902","0.0068374574184417725","0.004610121250152588","0.00444185733795166","-0.003883540630340576","0.0042781829833984375","0.005353480577468872","0.006028413772583008"
"23","23","0.0041027069091796875","0.0003192424774169922","0.003929644823074341","0.00964212417602539","0.009829968214035034","0.005574822425842285","0.007345616817474365","0.006812065839767456","0.004547625780105591","0.00377693772315979","0.002232879400253296","0.004657864570617676"
"24","24","-0.0009956061840057373","-0.0020117461681365967","0.0034270286560058594","0.007934898138046265","0.00854337215423584","0.00035580992698669434","0.00602269172668457","0.0049394965171813965","0.007038801908493042","0.00021192431449890137","-0.002667844295501709","-0.000736922025680542"
"25","25","-0.00036206841468811035","0.008324354887008667","-0.0016162395477294922","-0.00814172625541687","-0.00907808542251587","-0.0005227923393249512","0.00503617525100708","0.0038466453552246094","0.004737675189971924","-0.002573639154434204","0.006809920072555542","-0.00025019049644470215"
"26","26","0.007470875978469849","0.0055162012577056885","-0.0004968047142028809","0.011812776327133179","-0.01022222638130188","0.008259385824203491","0.003311634063720703","-0.003551274538040161","0.00366288423538208","0.007886290550231934","0.005631893873214722","0.007523089647293091"
"27","27","0.004891842603683472","0.004422932863235474","0.008110135793685913","-0.00260886549949646","0.009060204029083252","0.005566537380218506","-0.009439051151275635","0.0037207305431365967","0.000476151704788208","-0.012679219245910645","0.00409775972366333","0.004912614822387695"
"28","28","0.0038447976112365723","0.004424095153808594","0.005719214677810669","0.011994332075119019","0.01027148962020874","0.0006231069564819336","0.019734293222427368","0.00689128041267395","-0.0031916797161102295","0.014018148183822632","0.0034925639629364014","0.0038530826568603516"
"29","29","0.0034002959728240967","-0.017083793878555298","0.003954648971557617","0.002883225679397583","0.006296068429946899","-0.014013320207595825","-0.0023766756057739258","0.004801034927368164","0.007929444313049316","-0.01006627082824707","-0.0039051175117492676","-0.0023865997791290283"
"30","30","-0.09471119940280914","-0.10037815570831299","-0.09428724646568298","-0.0775986909866333","-0.09460629522800446","-0.10298973321914673","-0.08708378672599792","-0.09850472211837769","-0.09191645681858063","-0.08589762449264526","-0.10032276809215546","-0.09680311381816864"
"31","31","-0.06163686513900757","-0.05558931827545166","-0.05352438986301422","-0.0485919713973999","-0.061002299189567566","-0.056575581431388855","-0.0405769944190979","-0.06562334299087524","-0.05431477725505829","-0.13243556022644043","-0.1281871199607849","-0.053310856223106384"
"32","32","-0.030438214540481567","-0.0371304452419281","-0.03499120473861694","-0.024393320083618164","-0.028678148984909058","-0.03525921702384949","-0.026171892881393433","-0.03316566348075867","-0.032637983560562134","-0.02692428231239319","-0.0576627254486084","-0.04042583703994751"
"33","33","-0.013483792543411255","-0.021850228309631348","-0.08153630793094635","-0.006729632616043091","-0.01290130615234375","-0.01368868350982666","-0.0066668689250946045","-0.01869341731071472","-0.022063881158828735","-0.001478731632232666","0.015448927879333496","-0.04115629196166992"
"34","34","-0.0014991164207458496","-0.008907407522201538","-0.14391133189201355","0.008580237627029419","-0.00943019986152649","-0.008396893739700317","0.0019821226596832275","-0.010836243629455566","-0.01224091649055481","-0.00222209095954895","-0.06088323891162872","-0.06831498444080353"
"35","35","-0.005836814641952515","-0.004608333110809326","0.04942035675048828","0.007674545049667358","-0.011939167976379395","-0.0033903121948242188","0.00010001659393310547","-0.005913794040679932","-0.0205613374710083","0.007788747549057007","0.029404401779174805","-0.010591000318527222"
"36","36","-0.0041748881340026855","-0.009542733430862427","0.03984084725379944","-0.06915491819381714","-0.012396425008773804","0.008599013090133667","-0.06017389893531799","-0.0028218328952789307","-0.0910649299621582","0.0065895020961761475","0.02030402421951294","-0.0294572114944458"
"37","37","-0.0019899308681488037","-0.03027099370956421","0.02369534969329834","0.01099473237991333","0.007811695337295532","0.011801928281784058","-0.03833988308906555","0.0012595653533935547","-0.023991882801055908","-0.09919242560863495","0.022137463092803955","-0.02790212631225586"
"38","38","0.012366384267807007","-0.07422246038913727","0.023695409297943115","0.035091519355773926","0.005255520343780518","0.01859205961227417","0.04664239287376404","0.0042746663093566895","0.05424317717552185","0.012233614921569824","0.01534658670425415","0.0457892119884491"
"39","39","0.019272685050964355","0.03698599338531494","0.026530951261520386","0.020903855562210083","0.004896819591522217","0.016094893217086792","0.040629953145980835","0.004287749528884888","-0.0005998015403747559","0.0476452112197876","0.010579198598861694","0.00822862982749939"
"40","40","0.005221545696258545","0.030242830514907837","0.015725761651992798","0.0017457902431488037","-0.09007011353969574","-0.07500651478767395","-0.02570408582687378","-0.08920200169086456","-0.06848512589931488","0.0040378570556640625","-0.0024214982986450195","0.02454093098640442"
"41","41","0.0065310001373291016","0.012578070163726807","0.010435760021209717","-0.042883217334747314","-0.08212761580944061","-0.05997069180011749","-0.010471433401107788","-0.06061995029449463","0.05266749858856201","0.039304763078689575","0.004602640867233276","0.02467826008796692"
"42","42","0.005050629377365112","0.02957850694656372","0.022131770849227905","0.04029390215873718","-0.13716499507427216","-0.025760173797607422","-0.004844546318054199","-0.03325977921485901","0.03438428044319153","0.034950971603393555","0.007842779159545898","0.019534945487976074"
"43","43","-0.0007520020008087158","0.018065184354782104","-0.006376057863235474","0.028685152530670166","-0.011058628559112549","-0.030551016330718994","0.004172295331954956","-0.027562439441680908","0.029675185680389404","0.025300055742263794","0.005684077739715576","0.013168960809707642"
"44","44","0.004540592432022095","0.008071303367614746","-0.003487110137939453","0.01620173454284668","-0.0016367733478546143","-0.022040486335754395","0.0017330050468444824","-0.019780486822128296","0.017539530992507935","-0.030636698007583618","-0.0004163980484008789","0.008061856031417847"
