"timeBlock","Jan","Feb","Mar","Apr","May","Jun","July","Aug","Sep","Oct","Nov","Dcb"
"0","13.087552398569152","17.666130567930693","23.07561514100806","26.01092372716428","27.60877771367026","27.81286859800694","27.117644405871957","27.300335260142912","22.732194681408014","23.021985335796497","15.57365830122244","13.288121781889535"
"1","12.969518205558638","17.43124246112558","22.74343488825799","25.6999107256235","27.36860940522014","27.738610139904175","26.919619667303664","27.149060036137158","22.617061597616846","22.828046801723225","15.36411581844572","13.138480471421698"
"2","12.886434012548127","17.33440435432046","22.473771302174598","25.45319772408271","27.259841096770025","27.662085015134753","26.756328262068696","26.889572056478972","22.548211847159003","22.670508267649957","15.221590002335683","13.143222494287187"
"3","12.79044981953761","17.309616247515336","22.2417077160912","25.160801389208597","27.162289454986578","27.665226557032003","26.55717019016707","26.57285074348744","22.391562096701172","22.54138640024335","15.239114186225654","13.173914517152674"
"4","12.713432293193765","17.29067814071022","22.035644130007807","24.89757172100115","26.894771146536467","27.601351432262586","26.508962118265437","26.261129430495902","22.15292901291001","22.43974786617008","15.262538370115628","13.223923206684836"
"5","12.688831433516588","17.246540033905095","21.889797210591073","24.791225386127028","26.569186171419688","27.516409640826485","26.492987379697148","25.941808117504372","21.910362595785514","22.299125998763472","15.281429220672266","13.265581896216993"
"6","12.609013907172743","17.15008526043331","21.639350291174335","24.741412384586233","26.301267862969574","27.508734516057075","26.471712641128864","25.63972013784618","21.683829511994347","22.074904131356863","15.232753404562231","13.305357252415812"
"7","12.52807971416223","17.065347153628192","21.306836705090934","24.690849383045435","26.171466221186126","27.503776057954322","26.45035456922723","25.402865491521336","21.570429761536506","21.817048930616924","15.071944255118861","13.345665941947965"
"8","12.517812187818382","17.003559046823078","21.03025645234087","24.645636381504637","26.06004791273601","27.546784266518248","26.440729830658952","25.189427511863165","21.579613344412007","21.641760396543653","14.920068439008816","13.388957964813455"
"9","12.357411328141204","16.878720940017963","20.899726199590805","24.615456713297178","25.945596270952556","27.662625808415505","26.281455092090653","25.119322865538326","21.51346359395417","21.497538529137046","14.864325956232117","13.442383321012283"
"10","12.150310468464031","16.68396616654618","20.788645946840735","24.58859371175638","25.70702796250244","27.737217350312772","26.034147020189025","25.073451552546818","21.374547176829672","21.265799995063777","14.745016806788755","13.480875343877777"
"11","11.955226275453525","16.55734472640773","20.660199027424003","24.57059737688224","25.507826320719","27.826175558876688","25.810355614954062","24.93568023955531","21.355897426371833","21.107861460990495","14.550040990678724","13.509117366743272"
"12","11.755975415776351","16.497556619602616","20.5313354413406","24.548417708674776","25.376441345602213","27.855517100773948","25.614247543052432","24.733775593230455","21.36953100924734","21.038772926917222","14.373231841235361","13.51322605627543"
"13","11.561191222765837","16.418485179464167","20.407971855257205","24.51182137380065","25.191823037152098","27.79324197600452","25.408672804484127","24.587470946905608","21.39128125878951","20.968334392843943","14.319839358458662","13.466684745807596"
"14","11.359540363088659","16.304947072659047","20.2552082691738","24.477375038926517","24.947254728701967","27.73968351790176","25.19473139924916","24.44674963391409","21.412614841665015","20.87349585877067","14.34986354234863","13.297393435339757"
"15","11.201006170078138","16.15625896585393","20.15592801642373","24.411995370719062","24.696436420251853","27.73725839313234","24.92890666068085","24.179811654255907","21.380615091207183","20.615573991364077","14.375354392905262","13.02815212487192"
"16","11.05917197706763","16.036820859048813","20.12134776367366","24.18883236917827","24.461001445135068","27.733266601696265","24.681565255445857","23.98297367459772","21.32499867408268","20.356268790624135","14.290528576795229","12.759944147737416"
"17","10.81935445072379","15.818816085577037","20.074234177590263","23.86548603430417","24.20223313668495","27.672708143593507","24.437073850210883","23.854535694939546","21.147948923624845","20.141880256550863","14.122986094018529","12.523669503936242"
"18","10.639653591046612","15.593677978771924","20.01868725817353","23.59208969943005","23.9476814949015","27.57908301882408","24.1685324449759","23.6711810486147","20.914482506500352","19.907825055810928","14.09434361124183","12.299928193468402"
"19","10.57945273136943","15.403023205300148","19.962507005423465","23.363810031222602","23.650779853118056","27.48624122738797","23.92449103974093","23.48997640228985","20.74081608937585","19.611586521737667","14.067251128465132","12.114053549667231"
"20","10.560935205025585","15.235918431828368","19.878943419340068","23.226030363015166","23.420134467095245","27.425882769285227","23.710799634505968","23.44182175596501","20.571533005584676","19.358964654331064","14.080858645688432","12.002962239199388"
"21","10.540101012015077","15.02863032502325","19.751379833256667","22.96740069480772","23.38036616820744","27.386910428196245","23.517441562604343","23.414083776306835","20.413249921793504","19.088942786924463","14.038449496245068","11.955837595398217"
"22","10.550916819004561","14.808008884884808","19.55198291383994","22.654287693266934","23.42001989499673","27.358671759698577","23.35497822901291","23.39224579664866","20.284166838002328","18.828954252851197","14.032873680135037","11.872679618263712"
"23","10.580449292660711","14.554887444746363","19.341535994423204","22.447316522623257","23.54120089593767","27.420790544227064","23.344445584156457","23.35645626916156","20.204667087544497","18.56391571877793","14.085597864025004","11.743488307795875"
"24","10.61476509965019","14.27198267127458","19.106405741673136","22.436187309555862","23.71478696889736","27.537290174196038","23.40305166522955","23.346402929529987","20.150325801129856","18.341373038218766","14.13208871458164","11.486796997328037"
"25","10.645397573306342","14.058311231136138","18.931192867713186","22.459516723195847","23.880248526163825","27.782153025339298","23.497562811343087","23.36043860538032","20.17353351184988","18.26624562256325","14.182296231804939","11.221339020193533"
"26","10.657780046962488","13.900106457664359","18.951611568208172","22.504064441949083","24.144815636623296","28.173737508614863","23.63675562945163","23.397582465535844","20.215144353212477","18.452303904814283","14.184219801387636","10.95581437639236"
"27","10.671214708036414","13.781426870602674","19.206669667021362","22.571551438011383","24.56569757078973","28.439718324770343","23.74984460316372","23.470578074717192","20.302223374451724","18.831231797654787","14.289169530923543","10.739068585285102"
"28","10.644788889785264","13.849267757518227","19.682724611245604","22.650691915677132","24.841189612616045","28.704633855853384","23.926854053071718","23.582319947550623","20.468084407660513","19.264128743020898","14.455368765323806","10.780124578691517"
"29","10.674710641026776","14.084186012278327","20.18759376100215","22.749388731224975","25.05239001228688","29.02759924445541","24.313266620537956","23.73448000871782","20.654027646655603","19.35414053979618","14.75136256218077","10.938586281138338"
"30","10.778096039833539","14.384100722118218","20.516850077916775","22.85541951463103","25.40150896460575","29.153693391815054","24.83823382998776","23.87338773729939","20.807645618334004","19.323732925777467","15.023037731141644","11.019427498417574"
"31","11.325836720234342","14.562999723053986","20.610265438110403","22.93858076221158","25.908513284581492","29.211481559659543","25.431230112588004","24.24134090974015","21.07970581681231","19.274632336141586","15.152786302716818","11.12293715943096"
"32","12.010491913736395","14.893207722598703","20.71322023547897","23.030498354096544","26.330505655739113","29.265569800985762","26.047899252582624","25.03312261614044","21.77391219988612","19.21452962798235","15.210768116119313","11.332217455326994"
"33","12.704010976420424","15.1995601956749","21.047859595455176","23.309376874697744","26.495966477655013","29.315041929128103","26.609554350199428","25.769086505470472","22.639188293757528","19.211810372808397","15.314552766796643","11.828388308444586"
"34","13.315846114256093","15.310952801078894","21.54142704889559","23.750184757122714","26.902848584257303","29.48170968459001","27.03160947397533","26.567232247736666","23.482590840756664","19.225447363321198","15.483364248917438","12.401319454852572"
"35","13.531966477433322","15.342936234801876","21.994238981848603","24.383117933886066","27.33012020594533","29.804890030948002","27.576017507599545","27.33292797258507","24.277885335668987","19.308748700261777","15.74676957129334","13.08897083989359"
"36","13.990326746754366","15.583379530145812","22.416071793292666","24.82839570765014","27.867717064193418","30.364797464736913","28.18512290380123","28.042042892354743","24.74818344841638","19.437619500823654","16.247496178437576","13.764540952668776"
"37","14.563975315395709","16.247311296058722","23.094832974619454","25.22531367086761","28.58713709570857","31.115754104396768","28.639926943941834","28.563980132659072","24.84586494211277","19.628422267823147","16.818641245184672","14.25157696273066"
"38","15.024410681426938","16.975596891111294","23.659688832246776","25.613561030651272","29.197513310747627","31.612173567222463","28.748180569639814","28.694408204806734","24.988090420112552","19.82777161754024","17.09123526649431","14.261631940949117"
"39","15.45088349463778","17.81603836328975","23.722785029064116","26.14272452005166","29.347627507411918","31.97767412974154","29.084589974719865","28.968666308202558","25.391413790915628","20.02292462348623","17.246632134109873","14.211749563259337"
"40","15.524316695927336","18.5796000115748","23.8478765648287","26.915980266209093","29.33014348165542","32.18217010139057","29.605910140054622","29.44185240562245","25.575050036599837","20.27325502234317","17.33224819611703","14.506135513847514"
"41","15.827027427705561","19.241540819637827","24.121691593144647","27.24571107019209","29.85507179267454","32.4407130099437","29.978009236353294","29.65203488474959","25.736194470429883","20.420550961455213","17.409180320408186","15.104559462377232"
"42","15.770406698583248","19.95899900647514","24.175607281976397","27.419759997896463","30.419159168268088","32.70089106416312","30.412154774291317","29.83880136693621","25.855191616689304","20.534319691647706","17.517077113164966","15.69221952226493"
"43","15.698194363083136","20.575976421076554","24.37527584572829","27.765454279534485","30.63193190906985","32.55732618952877","30.895134255744992","29.8942056059369","26.064162821501125","21.038442412617346","17.576070955267703","16.247364766553805"
"44","15.661289117579566","20.93766576263766","24.787087996065388","28.308772545874902","30.98528886825261","32.38293919677728","31.283474348189905","30.065133040904545","26.25121978786772","21.682798047630776","17.561521008216857","16.59084545135879"
"45","16.060908171923916","21.365785151759113","25.087463119186904","28.81908597303691","31.205036989031008","32.21666317735752","31.417165533075956","30.480513610358663","26.66656045975733","22.046550237690205","17.522005726754937","16.75290526966329"
"46","16.698577394086094","21.85553226899241","25.291336111218126","29.17104723423374","31.375330096102918","32.059148001808765","31.424093097861643","30.97430490346353","27.095986653260628","22.538464883210462","17.523146760312873","16.89764389994668"
"47","16.948709056698384","22.400870273998166","25.65937064125809","29.333511672319847","31.46463347296045","31.906653438431253","31.690638282738952","31.13098563934594","27.249731576890397","23.36656423927343","17.53157906173678","17.25433220260241"
"48","17.298956309174937","22.894203785115135","26.169862002588776","29.803749626023052","31.59952476610533","31.704479630042535","32.08789224881992","31.14176409186295","27.67970856607389","24.102611470908133","17.545985461665435","17.688228614383995"
"49","17.44665363571257","23.266870511232828","26.68187874745194","30.148110887162836","31.851175426391","31.4905330200424","32.42911192146458","31.547580627235114","27.90278744693953","24.663241512522724","17.643080963899195","18.08549873902191"
"50","17.542603410707137","23.385509470750584","26.786983876939534","30.5114116054692","32.27397396552445","31.269210074304002","32.67774593220443","31.932682494727278","28.247483698550287","25.0262267154182","17.877435800236643","18.44344241148027"
"51","17.54842721693263","23.466466016919266","26.732509202482927","30.963301072356327","32.44322480088478","31.03879042044851","32.867356194153984","32.26798332740797","28.70903649107244","25.374565397455303","18.428553174084715","18.731678222311228"
"52","17.5442399711586","23.64998215380331","26.906421133343045","31.278371300786056","32.42219737483688","30.82595710256844","32.90078877436225","32.522490685368744","29.096618995019757","25.795770639559123","18.858869034474104","18.793249327372354"
"53","17.571478646969442","23.911835757804234","27.504268840316467","31.395530449275665","32.41833753375762","30.631788959291594","33.04888879249687","32.64337410042248","29.387839976983305","26.230122123193084","19.253697148099082","18.93920226018602"
"54","17.657800318299042","24.20968734302511","28.023313988455058","31.561197796472367","32.39457909776859","30.441569966973884","33.30994499152856","32.929813643186954","29.713020822731266","26.52497728208603","19.595983805137447","18.982622581212834"
"55","17.581614286197233","24.279148019399674","28.190073013881","31.709276937585443","32.662827969969776","30.263831306905495","33.55359774252768","33.19935304190564","29.84122110365631","26.900017123330507","19.663063142110897","18.877185288341977"
"56","17.480748114733792","24.20105075401612","28.17166781442051","31.657523721544212","33.01637735501727","30.1061354870772","33.77095754520592","33.252137944959436","29.520153255641354","27.261621829624996","19.630641929822946","18.72692609050461"
"57","17.4868287223954","24.249635192451283","28.125255489963543","31.540909692246924","33.263045200185765","29.976263201732547","33.95710193152404","33.1411529642763","29.166354032377694","27.50011995548165","19.616849766719344","18.589642974032873"
"58","17.65190050166944","24.22360598271751","28.12593585471374","31.54335483782071","33.418539262877204","29.868661227189655","33.908197709379934","33.26366781460544","28.813801140917235","27.65932725196752","19.627732825238375","18.34735838436271"
"59","17.73403605199691","24.313852527016184","28.32211575950627","31.625810727615196","33.46327028359246","29.757533786518525","33.56589148016204","33.4290582458726","28.48969957776395","27.601934967689182","19.646477773050343","18.0612908917717"
"60","17.641621462606984","24.39546235160394","28.546289767650496","31.675526003548445","33.5023487393381","29.64192063828433","33.2915958778011","33.435053124275065","28.237402250221553","27.57415873363768","19.716507642753488","17.759179184948888"
"61","17.527661510795213","24.20564174784605","28.578233472199166","31.78591679341008","33.64339527240981","29.538036802527408","33.087863358060055","33.44645743730908","28.043660499178078","27.675645743714522","19.780463718773326","17.45247912309254"
"62","17.451665468113692","24.02857459763315","28.577527223910355","31.870676842909724","33.769449652494714","29.43135546173031","32.910665503861644","33.471457658386605","28.039672819006274","27.700922172751184","19.833617818666532","17.141863103687985"
"63","17.399746117867526","23.939731405773774","28.593556995964313","31.908245744003366","33.84129918864946","29.333361596359058","32.69898205855057","33.51127716315007","28.011506987705257","27.63167945162353","19.874748937471463","16.833719948542605"
"64","17.196381059014286","23.855671197903582","28.66711451538287","31.86136752249012","33.88912793940826","29.236833825932568","32.47327788474185","33.52564550610517","28.01851477163075","27.470938722485908","19.788662702616076","16.54383569009964"
"65","17.004216947661668","23.607285919683097","28.57069104203148","31.75366605133707","33.86879402693289","29.127433346300148","32.19035297991015","33.473409106977876","27.870331276907162","27.328710746634293","19.60518279140339","16.27523592673207"
"66","16.78636606373793","23.315752619321504","28.27895749630953","31.623535041134957","33.79920903625292","29.01623987998315","31.89604935493854","33.28464090785993","27.64795393521316","27.143849147085515","19.41062133631589","16.02863512809161"
"67","16.551679851340733","23.02751426111839","28.035435932148648","31.469507460305234","33.60779047904757","28.923435804592437","31.623014435320446","33.11513698782239","27.466231856011632","26.900574095616367","19.20791448478278","15.788025886795786"
"68","16.312345815587303","22.738722439702965","27.87016326959495","31.310054663265387","33.332144131731226","28.84543154381403","31.480133618699554","32.87391435779721","27.22661059617326","26.602587017647117","19.000142596618947","15.52979838848284"
"69","16.066374778312877","22.42370144964835","27.646655591889637","31.095776410217436","33.07738304066998","28.7693081481633","31.32162603691665","32.62565846996831","26.983028185820324","26.276584845948932","18.865259577334903","15.333897461639465"
"70","15.850774587954946","22.08337726174875","27.34152435012874","30.84017152000248","32.81078320868791","28.69401530585477","31.091698210893096","32.3710488304503","26.72236147762191","26.034626390605187","18.80357668789827","15.329790877799944"
"71","15.850251610964563","21.736269049655032","27.02453134342192","30.54670619483014","32.56214291316101","28.621012106052756","30.86043714853957","32.071662019488905","26.446661236355435","25.973682785356818","18.63838420512156","15.330482900665446"
"72","15.866017417954058","21.50715147968864","26.712178943792978","30.253795945856204","32.286717940648785","28.548013657365466","30.605238771881993","31.764797509683085","26.236684498602372","25.91869425128355","18.42610838901151","15.255941590197612"
